value_id,value_type,value_content
val-sha256-10f09d7d76f87fdc1ba5ed4bc365ab3a68e69e525e265313235dbdb7ed742e47,author_name,David A. Coulter
val-sha256-a2133d90d4d98f3b69a814598dc596f2e635282e3b374b6f751ac46391a0f079,author_name,Robert D. Tollison
val-sha256-6b8a8ac4c8dff8091d7b7a8fb45f98fa5b359378814f1f7553b44279015ea9b4,author_name,Robert J. Warburton
val-sha256-ee032cd166ae74be762a46036841add78a1990b2ed04273a4ade1826ee3ff3ad,author_name,David W. Seybert
val-sha256-a98c23e4c5a6714167173c9867d9d8ef93d9695bf9cb1272d88f1128af1351ff,author_name,Robert A. Bonomo
val-sha256-4d87788e059c82dedf57a9fcc316f43861be778de767117c8fe15fbfa15beb42,author_name,Charles G. Dawes
val-sha256-318984f90b7811adb5c0cd7f7a7060774517adf18257b3ce18a3c28600cfc904,author_name,James R. Knox
val-sha256-ddfab94f2320ebd979e21eac5f7a60954dd586d663dc01e25e6d9011bcdc6024,author_name,David M. Shlaes
val-sha256-e81ab58aac955a1c15363a2f7b02f729d471da7c31ea7fccca8b4000c25c5284,author_name,Yasuhide Arata
val-sha256-65cf7e299652a3d06a80d7eb24117cd015e2838e317ef03ac0491fb00357f711,author_name,Michael R. DeFelippis
val-sha256-511f0cda58636746fcd6ef42acbd99f0ef2afea4c24a82d35f99ed92df762d66,author_name,Maureen A. Kilcomons
val-sha256-d6581c6a7533dade21edf93d24800e9d94ff2f05d57ce04eeff18979d4432e17,author_name,Mary P. Lents
val-sha256-58189bd27a323e5e5e5f29dc352502af2307d9118c3e9d801d5d6d9e59d4034d,author_name,Karen M. Youngman
val-sha256-c7239c0c0a058263bbc5af891f9ef0ba98c9313b2523456d3df65947b2709e37,author_name,Henry A. Havel
val-sha256-1c69cc0843bb6f34360306c458cae429b8b7b6a184bd362e35b94a1af8a044f3,author_name,Raymond J.A. Budde
val-sha256-20595ce7f6ffee8f1d8db735011046e49885b7feaeb27be9ab4dc25072399c38,author_name,Nihal U. Obeyesekere
val-sha256-411ebebbb26bc33fc796094ec734f5d9e2d9e7be90314c05078826b664df127f,author_name,Shi Ke
val-sha256-21c0ac7dfa7ae3489ced59541983454b260963098b4b5319e97b2ad79c2b4a30,author_name,John S. McMurray
val-sha256-7434a61dda40cd4489cb07b41359abb40ff142c270660ffad258e4e2dce2166e,author_name,Paula Bico
val-sha256-70f58b5b1902b8272978cdcc7f356b5c099391caa4e74f19a9ed0f98d000b30c,author_name,Julija Erhardt
val-sha256-34470a99124ec6dcf9fa00e45127bc885fa1533174dec16f6ece5b5209249589,author_name,Warren Kaplan
val-sha256-4dfdd582f96e93b1cd3ee3a083c80f2e8e0ea80d1d8f7a36cc352f253fafe393,author_name,Heini Dirr
val-sha256-5b8f3524690eb05af3686b2b3026db1f61af92dcfb63ec3b5c3788f8b19a45ed,author_name,Vello Tõugu
val-sha256-695e04738c39dce8ba3229fe3ee490f3461b3469f36f7a8d04f2ba86a6e47a9a,author_name,Peeter Talts
val-sha256-f2f360c3ae36dad4544ffaf15472a35f187bccdc40e08193ef6e675ff1641a90,author_name,Helle Meos
val-sha256-80aec1d1ab357e8e8136211f2bc7cb13fdd1d3277e2cad56d169d0280fac8ce1,author_name,Mat Haga
val-sha256-168972ae9c790ff80b12c98422886778b439f11e8165046b72930fea2e5bb40a,author_name,Aavo Aaviksaar
val-sha256-e325977915e062f8297dd5be2306dd5f1e3797834e5dd23fc13a18ac31defe25,author_name,Anil K. Agarwal
val-sha256-a2dcac5a0978caccff258d45e3f7309ed338a9a2c8e9f337a8927418aefa501e,author_name,Tomoatsu Mune
val-sha256-75123e42807ae189273843d77db944b70a23d358ea97c0d80549149936481f32,author_name,Carl Monder
val-sha256-c76cdedeba4f7fe99fb11b9d4f452156ac0d225c9a2e7bdfb46ae9744f934af0,author_name,Perrin C. White
val-sha256-7825ade48c7654af1e27d726db30d734cb6b4e0b020b5f61829a7c350e0dadf8,author_name,Kerstin Steinert
val-sha256-e69c9325eecae45948a8ef5597f1939df57e6fdca92e82ccea0957f437ac7362,author_name,Peter G. Kroth-Pancic
val-sha256-f17fc806d14d72804474eb9f54e68f6f867c0de293855591a4567555962a4c87,author_name,Susanne Bickel-Sandkötter
val-sha256-43af7792f1307885b897f504945c8e46bf4bfdf271fb46c3c855a3056108d43d,author_name,Robert K. Scopes
val-sha256-7dad15ca20ac56339c9d7275578eb0459d4032409b52ccea3f5bbec572148446,author_name,David R. Bannon
val-sha256-d3b4e7e238a1a5c2a0a71833f2efb82b16d5663a78105ef4f98a96cdf8fea4ba,author_name,Wah Yuen To
val-sha256-0d49d3dfc4439e8e294956c893d96592d7ac94192eba75d11b36ecdcd5fac321,author_name,Joseph C.K. Leung
val-sha256-9fafd017c4e15cf4f5b3955c9303027638555d26c4f793c314cb047ba11a90d5,author_name,Kar Neng Lai
val-sha256-adcd38b6dfe473c01fc9d31259d4de82b2dc89b6144639a4ac658d8a0e34fe3f,author_name,L.A. Sylvia
val-sha256-2f354e647e8e79f60d4d332271cf3cb0cc7b3cc672046a98c28a4d69c07fc7df,author_name,J.T. Gerig
val-sha256-9b27e445cd5207f32f4b769b9f965b643ab0c91a63dfe42a80806183e4b58a79,author_name,Cécile Clery
val-sha256-a6df0b769de235da8c9dea1d66fb44b9c511572ef29dc3dd2e8e524e29237443,author_name,Nicole Bec
val-sha256-df86e7c3c61aaec627e43c56f298ca1049ce184f28bff32cf94ca7602c5efe24,author_name,Claude Balny
val-sha256-805ef82834e041f7ec858d0016fd379fda2da2c734d61f07e21e8840deca5748,author_name,Vadim V. Mozhaev
val-sha256-8a778fee244d237311b3f611c00e092e30874617962b6c669c9d22e7e509bfa4,author_name,Patrick Masson
val-sha256-597dd0565feb567ad245174dab86ae6f19fa0d188f9f67e06d390326cdd0db50,author_name,Marc C.L. Maste
val-sha256-a740e2655074f387ffa0ba001c1d2a8c4004850300ffae76cd9b7fe93651d1a8,author_name,Hilde A. Rinia
val-sha256-107c3453d237490e78af816f7cf00231c36781420d5b88b5498984f03d688437,author_name,Carline M.J. Brands
val-sha256-40159f49610be827bf1cf41bbaa5591bf79e46372605b7a648085191d36891a8,author_name,Maarten R. Egmond
val-sha256-27b67ec005df000c3d164b0960bde80aa054885bef5cde7b80c6c5876d479016,author_name,Willem Norde
val-sha256-075aeb365c6f49177845e640a3cc6f3251af4b3119e2eccbf5b2a187f2b092e2,author_name,Li-Chin Chuang
val-sha256-1c2c8fe89a8c6c4523d2979781a8c7fc3be819a8d3b18262bf033ce346d79ab3,author_name,Hui-Ming Yu
val-sha256-73d4649aff08eac26438c3c317f6f612e4e571a6436eaae874d7e912603daf19,author_name,Chinpan Chen
val-sha256-ee80e0f66ef8eaa9635e4fea65f5a0f94ca12167c35d1936b057934c5771aa3b,author_name,Tai-Huang Huang
val-sha256-e5d868fefc330e227e6b30c4d78e917bbe8f5627fbd6836ebdc08ed4e044ded9,author_name,Shih-Hsiung Wu
val-sha256-833fcca00df3aac8a14b8c8c67e5f742a1bf2ebacc665b55d8e590411c5cc826,author_name,Kung-Tsung Wang
val-sha256-a53a1d69162357eccf7f0c7203d0941829a9adc661c58db65bbd5284980a6506,author_name,M.C. Jones
val-sha256-a5dbef97f7d9a8857e100ac4d4a910ad1a1891043237853ba51bdd0eeac350c6,author_name,S.A. Soliman
val-sha256-2c13f01f09f2ccee7b5055bbea305d57073680db2d3f691b61e9db1cb755ebaf,author_name,G.S. Christensen
val-sha256-9ff1595fb945d5e4652e760d97a530a2c903a2fe71cfcd171599237cca72a0c6,author_name,A.H. Rouhi
val-sha256-622960de25c7d077ddbffe65a79ab6a1efc57ae69435c484bec7dd55ce2007da,author_name,Olivier Devillers
val-sha256-94413f01026e435091efb682f1cafb729edae0c4b9f1af29066dab866ecdd905,author_name,Stefan Meiser
val-sha256-fe70d0608614822b534cee2daed2e189a801d9714b7a86ec6860da2701145eca,author_name,Monique Teillaud
val-sha256-6d381afadab3f838c3bc76215bfa3ef2967788aa22cd3c8d8c53ebdb8264466c,author_name,John Hershberger
val-sha256-a80ded0014dfbe27d791f63431e9533318d4c8a8e650433be9d4aa485f472394,author_name,Hüseyin Akçay
val-sha256-d07480d80da83cdd8e809c17993c9a42512504cf6ae6538de84bde730e5f33bf,author_name,S.P. Banks
val-sha256-252af067a6fdfcb8e447c88bbb5ef1a247e61c49088d82d125926c05c528a728,author_name,Fiona Sanderson
val-sha256-ed8a7e934ad3aca568d79be4a663712244ad15e202cbff91bd14749500cce967,author_name,Yuhua Wang
val-sha256-934fd92fe4c567f3a95a20adfac002427cfa75395311a6fbf5447f1618034663,author_name,Guorong Qi
val-sha256-45d83f99538c26b8e19b698dca6a365952c78f560162524ccd6f9fcd196ccea8,author_name,Huiling Li
val-sha256-ee9b27da5ab898358486276b387b141c75ffaa1fed8a38c6019214fa0a05e76a,author_name,Shilin Yang
val-sha256-232f7e052dc00aa40f9cc54089554774b0f7855cf6568648d9276b2ebefd1f72,author_name,Jie He
val-sha256-4895f496f2131e7042560accd7b4b84c70d510b9175197cc96dae779abf54945,author_name,Xiao-Ning Zhao
val-sha256-a21cb71c0565f4bfc1f16ecbb6bc5a5facbe1c44ad9359ba374fa993089cecc1,author_name,Jun-Jie Zhu
val-sha256-29f22c66f3753d3f8103faabf75eb81122ad22f5654d1e8baa386096c01334bc,author_name,Jun Wang
val-sha256-02bc13d5fe824e40718cfdd4e9708111bcd3908524fa75bd973e0c2c45e38e14,author_name,A Janotta
val-sha256-9708eef3b5d43fee68e81d8a7ee05d6152c65e18397976f40c5d443c4b7aa210,author_name,M Schmidt
val-sha256-5f63d7317a74273c65540f265232f153541c2d27fd590a4cc8f71b2be365ece2,author_name,R Janssen
val-sha256-a8de6cf9337c3ecef6bd96a0713f8637e37d866605df404c920edb7f6b9e58cc,author_name,Ch Buchal
val-sha256-c5863abb9f7e38d55766eb80e231a571dbc30c8d63f21e608f2c79bb1566596d,author_name,M Stutzmann
val-sha256-2230fa722fae6e2b84feb97cd128408756dd0bf5ad6238b799fc90f0de3c9a1d,author_name,P Stradins
val-sha256-1a155fea595c7d8b516096fbfdf6033a8eba6f2fcfe079947ee32e0b32b00aa3,author_name,S Shimizu
val-sha256-66ef23ace9e2986863b98e5b753e98109b742d54adc0a1465e848327f930f785,author_name,M Kondo
val-sha256-7a789fec5a8e3067c56b4282e23db38a9f677d9cb17e6b29812acdf4b47fb52a,author_name,A Matsuda
val-sha256-9ec5a71609acb1c75a2d272c280a6f0bf0a9ab31ce2dd46dc75ad79676df13e2,author_name,S. Shinohara
val-sha256-bb15bea8fb11e88fab8825248548deeb172e416f914ff02e245f9fe8717bb141,author_name,S. Matsuyama
val-sha256-0555f0388b87617d2a1a5e0d69485bb6b852b6f4d12fdf922667bffb1db0e4c3,author_name,O. Kaneko
val-sha256-6cdbe9fa427bd5fbad738dea9e14801a0a3b94f4c48b51722e8e317ed1f7ccfe,author_name,Se-Ho Lee
val-sha256-a1063a87b4551c1f5fba22b1a871a6ca23970b55f8bd31b72723fbe474b979ce,author_name,John W. Evans
val-sha256-b1ad8843f95f4a4b568fca1066d7a57fed930e10b50e3ab1ea0b9e8f2b4a3eac,author_name,Y.Eugene Pak
val-sha256-b4fb9fc83cc029bba21ad96c9ce14e969142e4da5bb9dbfc09b9aea6f90d86ea,author_name,Jong Up Jeon
val-sha256-d637cf3c1489f0bbcaea1724e0894a6a16bb2f9e28795d5f696e8f09538579ce,author_name,Dongil Kwon
val-sha256-cc015838a30ddc004dfb185d4762a117b27f92ae9cabac1e97427951b6bee018,author_name,Xiaogang Jin
val-sha256-06cbcbf93ff9d58e15934be6a22a77b1488fa9f9a9455ee7438bb14c1130c040,author_name,Chiew-Lan Tai
val-sha256-9ec8c5898b33ce5fbcd176acd9e5fd36f31881dd30c4d657983db111853c8765,author_name,Clifford A. Reiter
val-sha256-ab0dfeed965b1874e3900dabfa4dd3240228918ffd9def3668d345cacdad0b54,author_name,Z Zhang
val-sha256-0d73f625ab0e80321d429ccd1cff99123619156d7f5e34bc05e2a603bc4b5319,author_name,Stephan Brandt
val-sha256-4fe14eaa15ccbbc03519672b5a0751a226a1af86d8b34d4ca1926a7342897da8,author_name,Celina M.H. de Figueiredo
val-sha256-d18c96e1b4cb963c14b97cfc9d4987c8f69f5616f1f83abad25b35c1124bf9f7,author_name,John Gimbel
val-sha256-6c4a3ad452ab318084ff2d9edf402a45db86aa85ba179bdbef73deb9381287b2,author_name,Célia P. Mello
val-sha256-e8fd564d8b35a93247639121231ad9f5845eda4d0baeb4d6076eb9a4e8634c85,author_name,Jayme L. Szwarcfiter
val-sha256-e2ad91d1abf3c643e0254b7d21a948cf4631c52020b0297c5565c6675f0b4b94,author_name,Masataka Nakamura
val-sha256-3ae949fc8bf09aeacfb26d65d52fdaca33c55960ef7d37011c02276ce4e20352,author_name,Diomidis Spinellis
val-sha256-eb5fd91b705dc0e3091439251d1ece9a1b578c0e70dee9152a26e30d14a0e9f3,author_name,Stefanos Gritzalis
val-sha256-61437dd8b1fb0f4702b23f923c668e8bd924929ecb7b53f121d6bf8830eea034,author_name,John Iliadis
val-sha256-e701e50e9d0a8a0f8ebc171e5e4f84ceb5f99e752272e94c7ec866cb0fbade61,author_name,Dimitris Gritzalis
val-sha256-f7a90cd8d4122f4eff7c74cc49aec7894939540d8ef07fd613527f91f968463b,author_name,Sokratis Katsikas
val-sha256-aa78b2b52c073efff808e4d8f14c5b8d2811276bffdd2910909ee3caf35324a4,author_name,H. Oudadesse
val-sha256-916a5287d01dfa4d9b7f5a3307a46d6e0ee39b36d0bd5eae05db0a8a21e6d4bd,author_name,G. Guibert
val-sha256-dfeaff276053487ddecaf057e1ef42e221f8add48ddec13fb6bac65276d12dad,author_name,E. Chassot
val-sha256-9a0b621c32ff4097bcdfecf991c44f5be9f7bc3b8b7b5b753cfc51ba949d3655,author_name,J.L. Irigaray
val-sha256-0f5c59b361bfbd7d6b3272180cec1c955b25be343c1d43abab515a0ac84b78a3,author_name,S. Terver
val-sha256-338031b6aa1ec0f44150ff4df61758bc96f4d0f73f3b1b1b6cc45169c1140e62,author_name,G. Vanneuville
val-sha256-c5dcd24b1ed17d45c969ba09214fbec5e961b76d190cf2b65ecd7c0d7918e7bb,author_name,Y. Tessier
val-sha256-2eafd4a70bfc33f465823c100296b8a79cfa555c6228406afc4b1135c3236141,author_name,T. Sauvage
val-sha256-14954001b8bec31db4c9123cfbd9245efa44ea3ea2bfbfec4c6fdd019eaf1648,author_name,G. Blondiaux
val-sha256-9d9a719dd5fcf8ed412d73c6bcfb57e07eb22dfc46295b5d018a7daacc9bbb65,author_name,N. Kishimoto
val-sha256-daaf9d5418c067f2f1951545dd303b8fcd6260a3693b977cca751cf02905cd72,author_name,V.V. Bandourko
val-sha256-93c64dae0c0a83441eaf40df5380bcb6d483fa6228686e077701883bcccaa96f,author_name,Y. Takeda
val-sha256-510278e86e2c4f9c1b08d45e0f9853a111d9e3f19a76751a38df04873b2f4d50,author_name,N. Umeda
val-sha256-5fb6c697aa3f2590366d681d717af72c9d952e61d3bfa00e5a701a2e15ed9569,author_name,C.G. Lee
val-sha256-c6360bfa8397edd4d1f2c94ae2bb2766f30b6d86d68a8b672ec17b45999ef970,author_name,M.A Del Nobile
val-sha256-d2ebdfe973645cd07ba3ce774594be28969aa2757005a8fda41c2d0ee4c337e5,author_name,P Fava
val-sha256-81d3ecf868eaab63f06209bacb836faa7a2628912288ed882ad09fb2c760071b,author_name,L Piergiovanni
val-sha256-0d3a18ab3246ea15610cf43c2a91ee3b73c8b9d5fcd92a458a3bea9c0cb846fd,author_name,Ben de Kruijff
val-sha256-3b3daed1c3047552caa69c2f9682aa8e8ef4a67d9815999aa4695e981fd66a8d,author_name,Jon Lane
val-sha256-1ce0ac3c406b54517feefb43b5d440caecbc9757d90e36785801882831e442e6,author_name,Viki Allan
val-sha256-4a2bf67f00f4d898d6f6877498bdd2008ae4f2ac4f9cb71462cf14ae66632f24,author_name,V.K. Dugaev
val-sha256-6a9bf6b3091df04273f9f45f9f7bf50eba4dd41f6f4fa7ae6e8f457b9d0f1dea,author_name,P. Bruno
val-sha256-8866b801b949513648f049675f9b6d11150816feaa7f8fc8c62aefa0e405484a,author_name,J. Barnaś
val-sha256-cdcdb3dc0d12a3179c562e60f0c0edee3c44600179f1b69995583244c21b1ea5,author_name,Joo-Von Kim
val-sha256-07be20371019654fc4ea20c45ece09222e98d55e6d21ba9a2095436e2e335804,author_name,R.E. Camley
val-sha256-5cb274d63a61a66098cb44554ede7cb6d3b510fc910d9f490ccf8276ee41b161,author_name,D.X. Li
val-sha256-5d37cfe8bd76d8300a0f6576c1ba16281c0a3173049d5597a832d9ec4d9b218d,author_name,Y. Shiokawa
val-sha256-cbaeeba5193120a96bbae71377bd5f3c582fc95e2d019c12baaade7580385f8d,author_name,T. Nozue
val-sha256-8c561308a5a0b559082343f0593ef535bb0a2a6f68fcd5c30eb5782b9381fd57,author_name,T. Kamimura
val-sha256-64dc8928b4cf4204a9a1c463a5b2773a20830ad0197fc591ee1fd7bfae24e3d9,author_name,K. Sumiyama
val-sha256-ec026171478a99c6dbe7537fdf8aee3e2a4e36312c6eb583c1a08bd01f5b6992,author_name,R.M Teeuw
val-sha256-5fe1b38ce2c99c059410310c1a7b919c7b78c6234f7f6484a59e435bbcce01aa,author_name,J.L. Mey
val-sha256-ddca3a386967373b1eb8f9ea669569511192a3c1e26ed6cbaa155046a181d1a0,author_name,David Lieberman
val-sha256-26fd51cffa8178039b59ad3c6d8dc5eea8c29a2b1051df404a7dc4ca432dc8a4,author_name,Andreas Demetriou
val-sha256-fac4dca08fed36d7268845bf9b003384dc3d645e4d4217078dabfea4b170f31d,author_name,George Spanoudis
val-sha256-9836784a9ddd1049ee521d9ffb4db6a0c377829791d6a1b1417ddb7b1e495422,author_name,Constantinos Christou
val-sha256-778ccd2b61a3d4097a79b71b37b1e55e88778f4fedf278134a3ea25ef5e1dffd,author_name,Maria Platsidou
val-sha256-0d315f4f472f234899e904a27165ab11695e05cad5fdce089218d5257644c6b9,author_name,W Yang
val-sha256-e084727b78fd59d65d71c9f0634d7e941bcb008c330225166960e4534c1d9b57,author_name,J Billy
val-sha256-693120af313a11fdb4367b7084dde227ef163f280e705ba4410fb73bfb4fea3d,author_name,Y Ben Taârit
val-sha256-2c11aac32fe48ce6d1b95a65defcca6243d93d5769ce20fddb54c91c14e0354f,author_name,J.C Védrine
val-sha256-def9b0a6ef8d67d017f9ddbaad452fdd33999970c6b976612f99772782592ba4,author_name,N Essayem
val-sha256-80da3aed5107065dcf042bc72c60be828c25fad56a4b0c66e4ced78ce2cb9255,author_name,C Lefevre
val-sha256-456acfa0b1c502606b16484e3f3fe940045fedea812061bfbeaf639c854e667c,author_name,G Venturini
val-sha256-469722f046458a60d1faf3295c9cd97455ca9d6aa80ce8ca0631b06c02c013a9,author_name,Michael McPherson
val-sha256-bde02154f99d3e498411c65bd359a2a5f4637b408fba3dcd83be609c5f5f3be3,author_name,Yingfei Yang
val-sha256-33decad4962b7cd9df6056f084ad4776e4dcfd2b71b25a24f24776fb31a9fcf8,author_name,Philip W Hammond
val-sha256-c36674f24ef3d29eac5facf929d18ce77faf2bee7761c910e71a5aa182bac572,author_name,Brent L Kreider
val-sha256-573ce03d9c9655759f2e08c94c0e926d0b5e953ea51fb34b583a693d6cb27c8d,author_name,Tatyana V. Pochechueva
val-sha256-e8429d11dd3ffa7574ca1098046cc99b58a7b718efc222d9cca54287e803fdc0,author_name,Oxana E. Galanina
val-sha256-f0f509e71f57d3a8074e3010782d3293999de2109ee8dc50dc50c931bcb88472,author_name,Michael I. Bird
val-sha256-a27e534300663cf2feeb221fdad1d0b601ef6089c6d29bc22ba7c4aeb919834b,author_name,Nikolay E. Nifantiev
val-sha256-f34434d8e4ee5c57349bbfb97807e23986544a12363a3c9818db84549d71a7e6,author_name,Nicolai V. Bovin
val-sha256-243d03240fd3d7bd3060d5136803d452c912da6128ac1dc944bd4a1cba371813,author_name,Sébastien Guenneau
val-sha256-ee5d83cf3560bfb589c11386bd06d1d2170a35bda41ecc356d8da68d453f5c63,author_name,Chris Poulton
val-sha256-be37aa5b204fd6bdb5170309cf446cd20fb0d0cc663d688a48523f20a1635908,author_name,Alexander Movchan
val-sha256-52ff2b66019c9277cc7e7eae927b491eeedb5d42d2401940f33577b70cd65bd8,author_name,Anthony M.J. Davis
val-sha256-8152057897846b2d86ce0d69a9b41d52eb0e4882e770f00ea89c95fdc52c768f,author_name,Gary R. Hafer
val-sha256-1272fe33038bdd27ead9775bb2d647db895bd76f986237f4f598ea8548edbe2d,author_name,Michelle Comstock
val-sha256-d9d2c2b075dc9acd23fb50b5ba921360fbe5c0b0abe0d40fa10e8235e9c30cfe,author_name,Joanne Addison
val-sha256-f8b01284a96ef792b17b1a58cf31c19fa6b9e43075eecc388b76d0d1badc1095,author_name,Mark Warschauer
val-sha256-47024dcb165df00854ed113b2ca863af3feb95c35b6c48bb02849a0dc8bb2404,author_name,ANTHONY KING
val-sha256-29a6f311b777fd975a30a5b384f31aa2dc43ac6bb1bd58dfc9b17bf1e19be012,author_name,Russell C Dale
val-sha256-c8fa54020ad6ff7c5538e592383d86e5156b5f796b7190dde6bb0eccd77310ae,author_name,Andrew J Church
val-sha256-f60cdb0ef8d0862f11f92d998485620c4a58cde66a13f73eb143f711ca8fe697,author_name,Mike C Wyatt
val-sha256-c6da1e5c52b7b360036a65bb1be59f5ecfa6b8c5a40a6046925facd0abb83169,author_name,Sanjiv Sharma
val-sha256-d33bf0726807b1944934935164ac20a7c00087d431644067bec5fa27ff079a2c,author_name,Kling WK Chong
val-sha256-2bed9c8c490307016155b2a9c4977b7d0f2469da8e1cbf241bd89dd2107899c9,author_name,Tim CS Cox
val-sha256-ed14f3713e29231745b0c4e788ac99ec26d23378c4e511f05fb8e4140b455a82,author_name,Jean Aicardi
val-sha256-f28e6c14abb019967ab8e7d37e750ed3d21068897452fa887ea6187a1735a96c,author_name,N. Castro González
val-sha256-52ec1f6dc20381ba659e3e543e8287b7dba18e635638a463f3bbf041724e8e60,author_name,J. J. Koliha
val-sha256-eeae0dd825043198024369853997be132b16639febec8530ef6377ddf154cce0,author_name,Yimin Wei
val-sha256-7e0c5ad2a4f7e8460478e1b8976e4336c6e0e34028bd4201b458beb4e21ea895,author_name,Pasquale Candito
val-sha256-dc92a9d25abf3dfb74a4f3398a5a8b81334f685e60b653b60fb536eeb5c27766,author_name,K. Tsakelidou
val-sha256-17fec4ee8afa8556fce87f0d7ddb6eb6555670427940d8d027243daf553d974a,author_name,X. Papanikolaou
val-sha256-3df9a0aee8a2ed3e799f073f476bc6cd26b4beff988b5aa30a6b9477987d941e,author_name,E. Protopapadakis
val-sha256-2773e651ab96daea17a44eb9cd6312247760ef90267cc0d6ca2e97e923cfd4ea,author_name,Tony Edwards
val-sha256-40293b0c9c437be5c1d224c6cb5645fb10544eaf7fbdf3b921e4c25bddbad58a,author_name,G. R. Squire
val-sha256-28c314b369537edb1d6299a91511707dbe491cb3af05e061b29e32bd1330fd82,author_name,ANDREW C. THOMPSON
val-sha256-0ad97fcc7307fd4f69cc7d4ce46f05b5105e1fa10d07ef53330d71247d6e404e,author_name,ANDY WOOD
val-sha256-7defae113acbab4708ebc3bfdea880dc7d47ea2847086d0febe3d4b54f0ab0f4,author_name,REMEDIOS GONZÁLEZ
val-sha256-7ece6a403ff00caef45d21c71cb35e5b15dafb70e15aa6affb4e82521a835e00,author_name,SILVIA SIFRE
val-sha256-79f530e6661266831bd4745ba6e570d8c67b058828e1a232c65278b2f51137c6,author_name,JOSÉ BENEDITO
val-sha256-e29ca64adbe9df60cfced93cd977fc3aca8c13717d602ea0b9a833f476320e0b,author_name,VIVIANA NOGUÉS
val-sha256-ae142bfe25536ba297753b0d039af7f439033e2614508a1f4d5688bf74b96c80,author_name,V. R. GAPONENKO
val-sha256-ae826e7c3ca2abf3eb8287cce1881190af55af74088fdc30675f258eed1fda92,author_name,A. V. IVANOV
val-sha256-8dd2680d66a13c26f0c61667b8954dce7ef92f0ac0c482ef26a87239b7706d48,author_name,Y. S. KACHANOV
val-sha256-352e9c9d824ba166a4388a161e476fce7ecef3a959416f13d2d5eaced23f54e8,author_name,J. D. CROUCH
val-sha256-98edeb5b0f1c4209bb498dad1414268ab2490ab425f5153a3e6acee1002751f5,author_name,ANIK SOULIÈRE
val-sha256-a8dfb04f8e086b50e10f34cd205ee957a3497518b759d4e5f20c4c8fb0bbbeff,author_name,TADASHI TOKIEDA
val-sha256-56a9dd7f83f47e166199886ad30861d6dadc8e216c8cd8cf3bd1f5c2d65415cb,author_name,RICHARD MILLS
val-sha256-13d5ecbd7264c8ceda9099b802f8361c9c2155c829e1695449748e560aca3955,author_name,JOHN SHERIDAN
val-sha256-df5f84ad1e281ce666e264a2e639c7688b8f96b678b69d747e27f1afee7fa6bd,author_name,KERRY HOURIGAN
val-sha256-77a2bcfbed731d82afc257d0110b72da3a1fd5c8c9edb39b890bcb9c4203dfb0,author_name,B. V. LUNDIN
val-sha256-3394396a6414972aa771aac5ab8ba3284e4814ec961a4ee51d7c127bd8472b07,author_name,C. KRAFFT
