doi,author_name,affiliation,ror_id
10.1084/jem.20020773,Andre Nussenzweig,"Experimental Immunology Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD. 20892.",https://ror.org/040gcmg81
10.1039/b203550b,Pascal Le Floch,"Laboratoire 'Hétéroéléments et Coordination' UMR CNRS 7653, Ecole Polytechnique, Palaiseau Cedex, France",https://ror.org/02cf97417
10.1108/14684520010350641,Bojana Boh,"Bojana Boh is Assistant Professor for Scientific and Technological Informatics in the Department of Chemical Education and Informatics, Faculty of Natural Sciences and Engineering, University of Ljubljana, Slovenia.",https://ror.org/05njb9z20
10.1039/b203622c,Roman Lenaršič,"KRKA, d.d, Novo mesto, Šmarješka 6, SI-8000,Novo mesto,Slovenia",https://ror.org/03nwfz403
https://doi.org/10.1053/eupc.2002.0246,P. Kastner,"ARC Seibersdorf research GmbH, Graz Office, Grottenhofstraße 3, A-8053, Graz, Austria",https://ror.org/04c2kcw65
10.1108/02656710010306166,Rodney McAdam,"Senior Lecturer, School of Management, University of Ulster, Newtwonabbey, Belfast, UK",https://ror.org/01yp9g959
10.1054/aaen.2001.0377,M. Berk,Barwon Health and The Geelong Clinic,https://ror.org/00my0hg66
10.1080/00207210210127645,B. W. Curran,"IBM, ,",https://ror.org/05hh8d621
10.1172/jci200214995,Bodo-Eckehard Strauer,"Department of Medicine, Division of Cardiology, Pulmonary Diseases and Angiology, Heinrich-Heine-Universität, Düsseldorf, Germany",https://ror.org/024z2rq82
https://doi.org/10.1016/s0097-8493(02)00093-6,Clifford A. Reiter,"Department of Mathematics, Lafayette College, Easton, PA 18042-1781 USA#TAB#",https://ror.org/036n0x007
https://doi.org/10.1016/s0304-8853(01)00757-0,V.K. Dugaev,"Max-Planck-Institut für Mikrostrukturphysik, Weinberg 2, 06120 Halle, Germany",https://ror.org/0095xwr23
10.1136/bjo.86.7.787,D Newsham,"Division of Orthoptics, Department of Allied Health Professions, University of Liverpool, Thompson Yates Building, Liverpool L69 3GB, UK",https://ror.org/04xs57h96
10.1108/03068299710178829,D.J. Rapport,"University of Guelph Guelph. Ontario, Canada",https://ror.org/01r7awg59
10.1017/s0960428602000148,O. M. HILLIARD,Royal Botanic Garden Edinburgh,https://ror.org/0349vqz63
https://doi.org/10.1017/s0967026202003682,A. F. PETERS,"Marine Ökologie, Institut für Meereskunde, Düsternbrooker Weg 20, 24105 Kiel, Germany",https://ror.org/02h2x0161
https://doi.org/10.1136/qhc.11.2.113,R J Lilford,"Director of the Patient Safety Research Programme, Department of Health, and Professor of Clinical Epidemiology, University of Birmingham, Edgbaston, Birmingham B15 2TT, UK",https://ror.org/03angcq70
10.1149/1.1393467,Masahiro Susa,Tokyo Inst. of Tech.,https://ror.org/0112mx960
10.1021/ja026124o,Morena Nocchetti,"Contribution from the Department of Chemistry, University of Perugia, Via Elce di Sotto, 8 - 06123 Perugia, Italy",https://ror.org/00x27da85
10.1149/1.1390632,Q.-Y. Tong,"#N#aWafer Bonding Laboratory, Duke University, Durham, North Carolina 27708, United States of America",https://ror.org/00py81415
10.1135/cccc20020769,Nigam P. Rath,"Department of Chemistry, University of Missouri — St. Louis, St. Louis, MO 63121, U.S.A.",https://ror.org/037cnag11
10.1136/bmj.324.7352.1528,A. Moscrop,Edinburgh University,https://ror.org/01nrxwf90
https://doi.org/10.1162/15263800260047808,Derek Hall,WIlfrid Laurier University,https://ror.org/00fn7gb05
https://doi.org/10.1034/j.1600-0536.2002.460519.x,D. Orton,"Department of Dermatology, Amersham Hospital, Bucks,",https://ror.org/05ahq3q81
10.1108/14654659910280893,C.J. Backhouse,"Loughborough University, UK",https://ror.org/04vg4w365
10.1053/jhin.2002.1189,E. Barbotte,"SERES, Ecole de Santé Publique, 9 Avenuedela Forět Haye, B.P. 18454505, Vandoeuvre les, Nancy, France",https://ror.org/01sc83v92
https://doi.org/10.1053/jinf.2002.0974,Deniz Akduman,"Department of Infection and Clinical Microbiology, Zonguldak, Turkey",https://ror.org/01dvabv26
https://doi.org/10.1108/02644400010352270,Jaroslav Mackerle,"Linköping Institute of Technology, Department of Mechanical Engineering, Linköping, Sweden#TAB#",https://ror.org/05ynxx418
10.1054/cacc.2001.0308,V. Bonhomme,Centre Hospitalier Universitaire de Liège - CHU > Service d'Anesthésie-Réanimation >  >  >,https://ror.org/044s61914
10.1074/jbc.m201782200,Philip J. Thomas,"¶Department of Physiology, University of Texas Southwestern Medical Center at Dallas, Dallas, Texas 75390",https://ror.org/05byvp690
10.1172/jci200214995,Christian Heiß,"Department of Medicine, Division of Cardiology, Pulmonary Diseases and Angiology, Heinrich-Heine-Universität, Düsseldorf, Germany",https://ror.org/024z2rq82
https://doi.org/10.1016/0167-4838(95)00137-j,Patrick Masson,"Centre de Recherche du Service de Santé des Armées ‘Emile Pardé’, Unite de Biochimie, B.P. 87, 38702 La Tronche cedex, France",https://ror.org/0103yxp25
10.1016/0167-4838(95)00181-6,Hui-Ming Yu,"Institute of Biological Chemistry, Academia Sinica, P.O. Box 23-106, Taipei, Taiwan",https://ror.org/00jt3dw39
10.1016/s1074-5521(02)00157-6,Nicolai V. Bovin,"Shemyakin Institute of Bioorganic Chemistry, Russian Academy of Sciences, 16/10 Miklukho-Maklaya Street, Moscow 117997, Russia",https://ror.org/01dg04253
10.1108/13598540210414346,Alexander E. Ellinger,"(Alexander E. Ellinger is Assistant Professor of Marketing and Supply Chain Management, The University of Alabama, Tuscaloosa, Alabama, USA.)",https://ror.org/03xrrjk67
https://doi.org/10.1110/ps.23101,Steven Hayward,"Royal Society-Wolfson Bioinformatics Laboratory, School of Information Systems, University of East Anglia, Norwich NR4 7TJ, UK.",https://ror.org/026k5mg93
10.1172/jci200112195,G. Larry Gartland,"Division of Developmental and Clinical Immunology, Department of Microbiology, University of Alabama at Birmingham, Birmingham, Alabama, USA",https://ror.org/008s83205
10.1017/s0968045402000020,GADEN S. ROBINSON,"Department of Entomology, The Natural History Museum, Cromwell Road, London SW7 5BD, UK",https://ror.org/039zvsn29
https://doi.org/10.1039/b203691f,Alex von Zelewsky,"Institute of Inorganic and Analytical Chemistry, University of Fribourg, Pérolles,Fribourg,Switzerland",https://ror.org/022fs9h90
10.1161/01.cir.0000019901.15743.73,Neil Herring,"University Laboratory of Physiology, Oxford University, Oxford, United Kingdom.",https://ror.org/052gg0110
10.1105/tpc.8.3.343,J D Palmer,"Department of Biology, Indiana University, Bloomington, 47405 USA",https://ror.org/02k40bc56
https://doi.org/10.1080/02664760020016073,Hafzullah Aksoy,"Civil Engineering Faculty, Hydraulics Division , Istanbul Technical University , Ayazaga, Istanbul, 80626, Turkey",https://ror.org/059636586
10.1149/1.1393554,Y. Takeda,"Department of Chemistry, Faculty of Engineering, Mie University, Tsu Japan",https://ror.org/01529vy56
https://doi.org/10.1038/418141a,Olof Leimar,"the Department of Zoology, Stockholm University, Stockholm, Sweden",https://ror.org/05f0yaq80
10.1108/01425459410073988,Alison Balchin,"(Currently a Researcher at the Centre for Labour Market Studies at the University of Leicester, 103 Princess Road East, Leicester LEl 7LA, England.)",https://ror.org/04h699437
10.1038/ni0702-601,Joseph N. Blattman,"Fred Hutchinson Cancer Research Center, University of Washington School of Medicine, Seattle, USA",https://ror.org/007ps6h72
10.1039/b201792j,Iain S. Denniss,"British Nuclear Fuels plc, Sellafield,Seascale,UK",https://ror.org/035ytfy75
https://doi.org/10.1053/eupc.2002.0251,M Bergonzi,"Centre Hospitalier Princess GraceAvenue Pasteur, 98012, Monaco",https://ror.org/03x1jt541
10.1053/seiz.2001.0537,Alison J Clark,"Clinical Psychologist, Department of Clinical Psychology, Clinical Services, Royal Scottish National Hospital, Larbert, FK5 4SD, UK",https://ror.org/03rq50d77
https://doi.org/10.1016/0166-218x(93)90243-h,Randy Shull,"Department of Computer Science Wellesley College Wellesley, MA 02181, USA",https://ror.org/01srpnj69
10.1172/jci200113288,Helen Rayburn,"Department of Biology, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA",https://ror.org/042nb2s44
https://doi.org/10.1016/0167-4838(95)00137-j,Cécile Clery,"Service de Santé des Armées Emile Pardé, Unité de Biochimie, La Tronche, France.",https://ror.org/0103yxp25
https://doi.org/10.1145/508448.508474,Apostolos Zarras,"Institut National de Recherche en Informatique et an Automatique, Chesnay Cedex, France#TAB#",https://ror.org/02kvxyf05
https://doi.org/10.1108/13565369810215618,Torsten Kirchner,"Technical University of Ilmenau, Germany",https://ror.org/01weqhp73
10.1108/02651339910267817,Leonidas C. Leonidou,"(Assistant Professor of Marketing, Department of Public and Business Administration, School of Economics and Management, University of Cyprus, Nicosia, Cyprus.)",https://ror.org/02qjrjx09
https://doi.org/10.1108/10610429610113401,John S. Hill,"University of Alabama, Tuscaloosa, Alabama",https://ror.org/03xrrjk67
10.1049/ip-rsn:20020381,G. de Miguel Vela,"Universidad Politécnia de Madrid, , Spain",https://ror.org/03n6nwv02
https://doi.org/10.1017/s0305000902005147,ANGELIKA WITTEK,"Department of Developmental and Comparative Psychology, Max Planck Institute for Evolutionary Anthropology, Max Planck Society",https://ror.org/02a33b393
10.1017/s0967199402002162,Xiang Shun Cui,"Department of Animal Sciences, Chungbuk National University, Cheong Ju, Chungbuk, Korea",https://ror.org/02wnxgj78
10.1108/09544789410062713,Mohamed Zairi,"European Centre for TQM, University of Bradford, UK",https://ror.org/00vs8d940
https://doi.org/10.1128/mcb.22.16.5859-5868.2002,Dorothy E. Shippen,"Department of Biochemistry and Biophysics, Texas A&M University, College Station, Texas 77843-2128",https://ror.org/01f5ytq51
10.1074/jbc.m111941200,Junzhuan Qiu,"From the Division of Molecular Medicine, City of Hope National Medical Center and Beckman Research Institute, Duarte, California 91010",https://ror.org/00w6g5w60
https://doi.org/10.1103/physrevb.65.224422,B. I. Min,"Department of Physics,  Pohang University of Science and Technology, Pohang, 790-784, Korea",https://ror.org/04xysgw12
10.1126/science.297.5580.337a,Annette W. Coleman,"Division of Biology and Medicine, Brown University, Providence, RI 02912, USA,",https://ror.org/05gq02987
10.1108/03090569610121656,Nigel F. Piercy,"also Visiting Professor, M. J.Neeley School of Business, Texas Christian University, USA.",https://ror.org/054b0b564
https://doi.org/10.1088/0305-4470/35/25/313,Oscar Arratia,"Departamento de Matemática Aplicada a la Ingeniería, Universidad de Valladolid, E-47011, Valladolid, Spain",https://ror.org/01fvbaw18
10.1149/1.1391174,K. L. Pey,"#N#aDepartment of Electrical Engineering, National University of Singapore, Singapore 117576",https://ror.org/01tgyzw49
https://doi.org/10.1149/1.1393201,Hajime Fujii,"Department of Chemical Engineering, Faculty of Engineering, Kyoto University, Kyoto 606-8501, Japan",https://ror.org/02kpeqv85
https://doi.org/10.1103/physreve.65.060102,Debabrata Panja,"Instituut Lorentz, Universiteit Leiden, Postbus 9506, 2300 RA Leiden, The Netherlands.",https://ror.org/027bh9e22
10.1046/j.1440-1673.1999.433671.x,J Maheshwari,"Orthopaedics, All India Institute Of Medical Sciences, New Delhi, India",https://ror.org/02dwcqs71
https://doi.org/10.1172/jci200113288,Monty Krieger,"Department of Anatomy, University of California, San Francisco, San Francisco, California, USA.",https://ror.org/043mz5j54
10.1046/j.1525-1438.2002.00084.x,Yongling Tu,"Centers for Disease Control and Prevention, Atlanta, Georgia",https://ror.org/042twtr12
10.1149/1.1393243,Reginald Paul,"Department of Chemistry, The University of Calgary, Calgary, Alberta, Canada T2N 1N4",https://ror.org/03yjb2x39
10.1080/09603100010014041,Sébastien Laurent,UNIVERSITE DE LILLE 2,https://ror.org/02kzqn938
10.1074/jbc.m202859200,Shigetaka Kitajima,"Tokyo Medical and Dental University, Tokyo, Japan",https://ror.org/051k3eh31
https://doi.org/10.1053/radi.2000.0245,J.P. Wingate,"Department of Clinical Radiology, City Hospital NHS Trust, Dudley Road, Birmingham, B18 7QH, U.K.",https://ror.org/02smq5q54
https://doi.org/10.1093/annonc/mdf188,K. Delasalle,The University of Texas M. D. Anderson Cancer Center Houston TX USA,https://ror.org/04twxam07
10.1108/09593849910267206,Francis Lau,"(Department of Accounting and MIS, Business Faculty, University of Alberta, Edmonton, Alberta, Canada)",https://ror.org/0160cpw27
https://doi.org/10.1108/03068299610122371,Kjell Hausken,"(Max‐Planck‐Institut für Gesellschaftsforschung, Cologne, Germany)",https://ror.org/01hhn8329
10.1016/s0040-6090(02)00067-6,Jong Up Jeon,"Nanosystem Lab., Samsung Advanced Institute of Technology, Seoul, South Korea",https://ror.org/04w3jy968
10.1016/s0341-8162(02)00020-6,R.M Teeuw,"Environmental Sciences Department, University of Hertfordshire, Hatfield, AL10 9AB, UK",https://ror.org/0267vjk41
10.1016/s1074-5521(02)00157-6,Tatyana V. Pochechueva,"Shemyakin Institute of Bioorganic Chemistry, Russian Academy of Sciences, 16/10 Miklukho-Maklaya Street, Moscow 117997, Russia",https://ror.org/01dg04253
https://doi.org/10.1054/mehy.1999.0874,M. Mares-Guia,"sica, Instituto de Ciências Biológicas, Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brasil",https://ror.org/0176yjw32
10.1103/physrevb.66.045402,D. Cvetko,"Laboratorio TASC dell’Istituto Nazionale per la Fisica della Materia, Trieste, Italy",https://ror.org/02kswma64
10.1080/08880010290057363,B. Meyer,"Department of Neurosurgery, University of Bonn, Bonn, Germany",https://ror.org/041nas322
https://doi.org/10.1110/ps.23301,Hai‐Meng Zhou,"Department of Biological Science and Biotechnology, Tsinghua University, Beijing 100084, P.R. China",https://ror.org/03cve4549
10.1149/1.1482767,A. S. Hay,"#N#b#N#Department of Chemistry, McGill University, Montreal, Quebec, Canada H3A 2K6 #N#",https://ror.org/01pxwe438
10.1080/080370502760050412,Bengt E. Karlberg,"Medical Data Services Boehringer Ingelheim Pharma KG, Ingelheim, Germany",https://ror.org/00q32j219
10.1108/13527599610131854,Hadyn Ingram,"University of Surrey, Guildford, United Kingdom",https://ror.org/00ks66431
10.1142/s0217984902003853,JIANYE LI,"Department of Material Science and Engineering, Korea Advanced Institute of Science and Technology, Daejeon 305-701 , Republic of Korea",https://ror.org/05apxxy63
10.1108/02686909610131648,Roger K. Doost,Clemson University  Clemson South Carolina USA,https://ror.org/037s24f05
10.1149/1.1393554,N. Imanishi,"Department of Chemistry, Faculty of Engineering, Mie University, Tsu Japan",https://ror.org/01529vy56
10.1021/tx020019a,Shantu Amin,Penn State Cancer Institute,https://ror.org/01tc10z29
https://doi.org/10.1039/b202586h,Terry J. Dillon,"Atmospheric Chemistry, Max Planck Institute for Chemistry, Max Planck Society",https://ror.org/02f5b7n18
10.1113/jphysiol.2002.017707,Gerald M. Herrera,"Departments of Molecular Physiology and Biophysics and Pharmacology, University of Vermont College of Medicine, Burlington, VT 05405, USA",https://ror.org/0155zta11
https://doi.org/10.1053/jhin.2002.1234,J.C. Graham,"Clinical Microbiology Department, Royal Victoria Infirmary, Queen Victoria Road, Newcastle upon Tyne, NE1 4LP, UK",https://ror.org/01p19k166
10.1074/jbc.m202859200,Yusaku Nakabeppu,"Tokyo Medical and Dental University, Tokyo, Japan",https://ror.org/051k3eh31
https://doi.org/10.1054/bjps.2001.3724,Brendan Fitzpatrick,"Department of Plastic, Reconstructive and Hand Surgery,",https://ror.org/05q7t7f13
https://doi.org/10.1108/08876049710171722,Sharon Harris,"University of Memphis, Memphis, TN, USA",https://ror.org/01cq23130
10.1149/1.1393375,Claude Mijoule,"Centre Interuniversitaire de Recherche et d'Ingénierie des Matériaux, INPT-UPS-CNRS, Ecole Nationale Supérieure de Chimie de Toulouse, 31077 Toulouse cedex 4, France",https://ror.org/02feahw73
https://doi.org/10.1149/1.1393488,C. Wen,"Department of Chemical System Engineering, School of Engineering, The University of Tokyo, Bunkyo‐Ku, Tokyo 113-8656, Japan",https://ror.org/057zh3y96
10.1086/340083,George J. Bendo,"University of Hawaii, Institute for Astronomy, 2680 Woodlawn Drive, Honolulu, HI 96822",https://ror.org/03tzaeb71
https://doi.org/10.1017/s0967026202003608,GABRIELE PROCACCINI,"Stazione Zoologica #8216;A. Dohrn#8217;, Villa Comunale, 80121 Naples, Italy",https://ror.org/03v5jj203
https://doi.org/10.1108/14654650010356095,Layek Abdel‐Malek,"New Jersey Institute of Technology, Newark, New Jersey, USA.",https://ror.org/05e74xb87
10.1108/14635789610153452,Hans Lind,"Stellan Lundström is Associate Professor and Hans Lind is Senior Lecturer, both at the Section of Building and Real Estate Economics, Royal Institute of Technology, Stockholm, Sweden",https://ror.org/026vcq606
10.1074/jbc.m112267200,Martin Obst,"Institut für Mikrobiologie, Westfälische Wilhelms-Universität Münster, Corrensstrasse 3, D-48149 Münster, Germany",https://ror.org/00pd74e08
10.1034/j.1600-0536.2002.460501.x,Maher Dibo,"Department of Dermatology, University of Kiel, Germany.",https://ror.org/04v76ef78
10.1039/b203550b,Marjolaine Doux,"Laboratoire 'Hétéroéléments et Coordination' UMR CNRS 7653, Ecole Polytechnique, Palaiseau Cedex, France",https://ror.org/05hy3tk52
10.1046/j.1525-1438.2002.00084.x,David Wright,"Centers for Disease Control and Prevention, Atlanta, Georgia",https://ror.org/042twtr12
https://doi.org/10.1053/plac.1999.0463,H. Minakami,"Department of Obstetrics and Gynecology, Jichi Medical School, Tochigi, Japan",https://ror.org/010hz0g26
10.1016/0167-4838(94)00178-j,David W. Seybert,"Department of Chemistry and Biochemistry, Duquesne University, Pittsburgh, PA 15282, USA",https://ror.org/02336z538
10.1074/jbc.m201782200,Linda Millen,"¶Department of Physiology, University of Texas Southwestern Medical Center at Dallas, Dallas, Texas 75390",https://ror.org/05byvp690
10.1172/jci200214995,Tienush Rassaf,"Department of Medicine, Division of Cardiology, Pulmonary Diseases and Angiology, Heinrich-Heine-Universität, Düsseldorf, Germany",https://ror.org/024z2rq82
10.1108/01445150210423198,Michael Yu Wang,"(Michael Yu Wang is at the Department of Automation and Computer‐Aided Engineering, The Chinese university of Hong Kong, Shatin, N.T., Hong Kong)",https://ror.org/00t33hh48
https://doi.org/10.1046/j.1472-9725.2001.00018.x,G A Stewart,"Division of Inflammation and Infectious Disease, Department of Microbiology, University of Western Australia, Australia",https://ror.org/047272k79
10.1161/01.str.0000013067.24300.b0,H.M. Dewey,"Department of Medicine, Melbourne University, Melbourne (R.A.L.M., G.A.D.), Australia.",https://ror.org/01ej9dk98
10.1108/09555349710179816,Paul Humphreys,"Lecturer in Industrial Management, Department of Industrial and Manufacturing Systems Engineering, the University of Hong Kong, Hong Kong",https://ror.org/02zhqgq86
10.1086/340083,George J. Bendo,"Visiting Astronomer at the UH 2.2 m Telescope at Mauna Kea Observatory, Institute for Astronomy, University of Hawaii",https://ror.org/03tzaeb71
10.1108/02651339710367647,John A. Quelch,Harvard University,https://ror.org/006v7bf86
10.1080/110241502320127793,Carsten N. Gutt,"Department of Surgery, Ruprecht-Karls-University, Heidelberg, Germany;",https://ror.org/038t36y30
https://doi.org/10.1118/1.1487861,Dirk‐Alexander Sennst,"Institute of Medical Physics, University of Erlangen, Nürnberg, Germany",https://ror.org/00f7hpc57
10.1021/ic0201396,Akhil R. Chakravarty,"Department of Inorganic and Physical Chemistry and Department of Molecular Reproduction, Development and Genetics, Indian Institute of Science, Bangalore 560012, India.",https://ror.org/04dese585
10.1108/09588689410063210,Stephen Lee,"Lecturer in the Department of Land Management and Developmentat the University of Reading, UK.",https://ror.org/05v62cm79
https://doi.org/10.1149/1.1393488,K. Yamada,"Department of Fine Materials Engineering, Shinshu University, Ueda, Nagano 386-8567, Japan",https://ror.org/0244rem06
10.1088/0266-5611/18/4/315,Almerico Murli,"University of Naples ‘Federico II’, Naples, Italy and Center for Research on Parallel Computing and Supercomputers (CPS-CNR), Naples, Italy",https://ror.org/05290cv24
10.1016/0167-4838(94)00178-j,Robert J. Warburton,Department of Chemistry and Biochemistry; Duquesne University; Pittsburgh PA 15282,https://ror.org/02336z538
https://doi.org/10.1016/0167-4838(94)00237-b,Peeter Talts,"Laboratory of Bioorganic Chemistry, Institute of Chemical Physics and Biophysics of the Estonian Academy of Sciences, Tallinn EE0026, Estonia",https://ror.org/01pewsd85
https://doi.org/10.1103/physrevb.66.035317,Robert W. Meulenberg,"Department of Chemistry, University of California, Santa Barbara, California, 93106",https://ror.org/02t274463
https://doi.org/10.1172/jci200214276,Céline Burcklé,"Institut National de la Santé et de la Recherche Médicale (INSERM) U489, and Association Claude Bernard,",https://ror.org/02vjkv261
https://doi.org/10.1016/s0022-3093(01)00974-7,R Janssen,"Walter Schottky Institut, Technische Universität München, Am Coulombwall, 85748 Garching, Germany",https://ror.org/000q08p21
https://doi.org/10.1046/j.1472-9725.2001.00018.x,D Knight,"Asthma and Allergy Research Institute and Department of Medicine, University of Western Australia, Australia",https://ror.org/047272k79
https://doi.org/10.1049/ip-rsn:20020381,G. de Miguel Vela,"Universidad Politécnia de Madrid, , Spain",https://ror.org/03n6nwv02
https://doi.org/10.1172/jci200112195,G. Larry Gartland,"Division of Developmental and Clinical Immunology, Department of Microbiology, University of Alabama at Birmingham, Birmingham, Alabama, USA",https://ror.org/008s83205
10.1108/09576069810196841,Mohamed Zairi,"TQM Centre, Bradford University, UK",https://ror.org/00vs8d940
https://doi.org/10.1074/jbc.m109802200,Hans-Dieter Allescher,"From the Department of Internal Medicine II, Technische Universität München, Munich 81675, Germany",https://ror.org/02kkvpp62
https://doi.org/10.1039/b203691f,Jean-Claude G. Bünzli,"Institute of Inorganic and Analytical Chemistry, BCH, University of Lausanne, Lausanne, Switzerland",https://ror.org/019whta54
https://doi.org/10.1108/13552519810233967,Yasuhide Shinohara,"Department of Industrial and Systems Engineering, Hiroshima University, Higashi‐Hiroshima, Japan",https://ror.org/03t78wx29
https://doi.org/10.1054/ghir.2000.0140,Joachim Brueckel,"Department of Internal Medicine, University of Ulm, Germany",https://ror.org/032000t02
https://doi.org/10.1046/j.1442-200x.1999.4121030.x,Vedat Koseoglu,"Department of Pediatric Oncology, Gülhane Military Medical Academy, Ankara, Turkey.",https://ror.org/015dfn538
10.1161/01.cir.0000012524.44897.3a,David D. Waters,"the School of Medicine, University of California, San Francisco (C.S.)",https://ror.org/043mz5j54
https://doi.org/10.1053/eupc.2001.0176,D Klug,"Department of Cardiology, University of LilleLille, France",https://ror.org/02kzqn938
https://doi.org/10.1053/rmed.2002.1320,R. JÕGI,"Department of Medical Sciences, Respiratory Medicine and Allergology, Uppsala University, Akademiska sjukhuset, Uppsala, Sweden",https://ror.org/01apvbh93
10.1108/03090569810224074,Stephen Roehrig,"(H.J. Heinz III School of Public Policy and Management, Carnegie Mellon University, Pittsburgh, Pennsylvania, USA)",https://ror.org/05x2bcf33
https://doi.org/10.1046/j.1472-9725.2001.00018.x,N Asokananthan,"Division of Inflammation and Infectious Disease, Department of Microbiology, University of Western Australia, Australia",https://ror.org/047272k79
https://doi.org/10.1172/jci200111775,Gerald I. Shulman,"Department of Cellular and Molecular Physiology, Yale University School of Medicine, New Haven, Connecticut, USA",https://ror.org/03v76x132
10.1021/ar010030m,Martin Karplus,"Harvard University (Massachusetts Hall, Cambridge, MA 02138 - United States)",https://ror.org/006v7bf86
10.1074/jbc.m200147200,Hee Cheon Lee,"Division of Molecular and Life Sciences, Pohang University of Science and Technology, Pohang, 790-784, Korea",https://ror.org/04xysgw12
10.1080/01418610210134477,B. J. Briscoe,"Department of Chemical Engineering and Chemical Technology , Imperial College , Prince Consort Road, London, SW7 2BY, UK",https://ror.org/041kmwe10
10.1108/00251740010311816,Maura MacPhee,"Colorado State University, USA",https://ror.org/03k1gpj17
10.1046/j.1442-200x.1999.4121045.x,Chihaya Imai,"Department of Pediatrics, Niigata University School of Medicine, Japan",https://ror.org/04ww21r56
10.1149/1.1393909,Marika Juppo,"The Laboratory of Inorganic Chemistry, University of Helsinki, 00014 Helsinki, Finland",https://ror.org/040af2s02
10.1108/14664100210417986,G. O’Donoghue,"G. O’Donoghue is Surgeon Consultant at the Department of Otolaryngology and Head and Neck Surgery, Queens Medical Centre, Nottingham, UK.",https://ror.org/03ap6wx93
https://doi.org/10.1149/1.1393897,R. Greef,"Department of Chemistry, University of Southampton, Southampton SO17 5BJ, United Kingdom",https://ror.org/01ryk1543
10.1108/03068290010335037,Clem Tisdell,"The Univ. of Queensland, Brisbane, Australia",https://ror.org/00rqy9422
10.1108/14601060010352506,Mohammed Rafiq,"(Mohammed Rafiq is a Senior Lecturer in Retailing and Marketing at Loughborough University, Loughborough, UK.)",https://ror.org/04vg4w365
https://doi.org/10.1053/jinf.2002.0974,Doruk Engin,"Department of Microbiology, Hacettepe University, Ankara, Turkey",https://ror.org/04kwvgz42
10.1053/rmed.2001.1284,H. TUTKAK,"Department of Immunology, Ankara University Medical Faculty, Ankara, Turkey",https://ror.org/01wntqw50
https://doi.org/10.1054/brst.2000.0285,A. Bassili,"Medical Statistics Department, Medical Research Institute, Alexandria University, Alexandria, Egypt.",https://ror.org/00mzz1w90
10.1108/09513540110366132,Rod Green,"La Trobe Univ., Bundoora, Victoria, Australia#TAB#",https://ror.org/01rxfrp27
10.1088/0741-3335/44/8/308,S Sudo,"National Institute for Fusion Science, 322-6 Oroshi-cho, Toki 509-5292, Japan",https://ror.org/01t3wyv61
